depart,arrive,distance_min,distance_max,distance_moy,virage_min,virage_max,prix_moy
Fouda,Mvog-ada,1600,3000,1600,16,16,300
Fouda,hotel de ville(avenue des banques),2900,4300,2900,9,11,250
Fouda,TKC(carrefour),9800,11200,9800,16,20,400
Fouda,Carrefour MEEC,6800,8200,6800,14,19,400
Fouda,Mvog Atangana Mballa(pharmacie),4200,5600,4200,16,18,300
Fouda,Ngoa Ekélé (lycée),5000,6400,5000,15,18,300
Fouda,Chateau(Université de Yaoundé I),5200,6600,5200,15,18,300
Fouda,Ekoundoum,99300,100700,99300,23,30,1500
Marché central,Mendong(carrefour banane),9800,11200,9800,16,22,300
Marché central,(Lycée)Mballa II,4200,5600,4200,15,19,200
Marché central,Cradat(restaurant),3600,5000,3600,13,19,250
Marché central,Efoulan(carrefour club france),4400,5800,4400,12,18,300
Marché central,Eleveur (tradex college ebanda),7200,8600,7200,16,21,300
Marché central,Mvog-ada,2100,3500,2100,8,12,200
Marché central,hotel de ville(avenue des banques),1000,2400,1000,6,11,150
Marché central,TKC(carrefour),8600,10000,8600,14,20,250
Marché central,Carrefour MEEC,4800,6200,4800,18,19,250
Marché central,Mvog Atangana Mballa(pharmacie),7200,4100,2700,10,14,250
Marché central,Ngoa Ekélé (lycée),2500,3900,2500,15,16,250
Marché central,Chateau(Université de Yaoundé I),3400,4800,3400,15,16,250
Marché central,Ekoundoum,100000,101400,100000,27,32,1450
Mendong(carrefour banane),(Lycée)Mballa II,12400,13800,12400,18,23,400
Mendong(carrefour banane),Cradat(restaurant),4600,6000,4600,11,17,250
Mendong(carrefour banane),Efoulan(carrefour club france),6200,7600,6200,16,20,300
Mendong(carrefour banane),Eleveur (tradex college ebanda),16400,17800,16400,18,24,400
Mendong(carrefour banane),Mvog-ada,9800,11200,9800,13,20,250
Mendong(carrefour banane),hotel de ville(avenue des banques),9400,10800,9400,14,18,300
Mendong(carrefour banane),TKC(carrefour),1300,2700,1300,4,8,100
Mendong(carrefour banane),Carrefour MEEC,5500,6900,5500,12,12,250
Mendong(carrefour banane),Ngoa Ekélé (lycée),7000,8400,7000,13,16,250
Mendong(carrefour banane),Chateau(Université de Yaoundé I),6100,7500,6100,13,16,250
Mendong(carrefour banane),Ekoundoum,108000,109400,108000,32,36,1400
(Lycée)Mballa II,Cradat(restaurant),7000,8400,7000,15,19,300
(Lycée)Mballa II,Efoulan(carrefour club france),8100,9500,8100,9,14,400
(Lycée)Mballa II,Eleveur (tradex college ebanda),6400,7800,6400,12,15,250
(Lycée)Mballa II,Mvog-ada,5900,7300,5900,9,13,300
(Lycée)Mballa II,hotel de ville(avenue des banques),3100,4500,3100,13,14,200
(Lycée)Mballa II,TKC(carrefour),11100,12500,11100,17,23,400
(Lycée)Mballa II,Carrefour MEEC,7700,9100,7700,17,21,400
(Lycée)Mballa II,Mvog Atangana Mballa(pharmacie),6800,8200,6800,10,12,300
(Lycée)Mballa II,Ngoa Ekélé (lycée),5900,7300,5900,7,21,400
(Lycée)Mballa II,Chateau(Université de Yaoundé I),6100,7500,6100,8,21,400
(Lycée)Mballa II,Ekoundoum,102000,103400,102000,28,32,700
Cradat(restaurant),Efoulan(carrefour club france),2400,3800,2400,13,20,300
Cradat(restaurant),Eleveur (tradex college ebanda),11400,12800,11400,12,16,400
Cradat(restaurant),Mvog-ada,4800,6200,4800,8,8,250
Cradat(restaurant),hotel de ville(avenue des banques),4100,5500,4100,11,14,250
Cradat(restaurant),TKC(carrefour),3400,4800,3400,8,9,250
Cradat(restaurant),Carrefour MEEC,3200,4600,3200,13,18,250
Cradat(restaurant),Mvog Atangana Mballa(pharmacie),3500,4900,3500,10,12,250
Cradat(restaurant),Ngoa Ekélé (lycée),1200,2600,1200,2,6,100
Cradat(restaurant),Chateau(Université de Yaoundé I),1000,2400,1000,2,8,100
Cradat(restaurant),Ekoundoum,103000,104400,103000,25,30,2000
Efoulan(carrefour club france),Eleveur (tradex college ebanda),11100,12500,11100,15,18,400
Efoulan(carrefour club france),Mvog-ada,4500,5900,4500,8,12,300
Efoulan(carrefour club france),hotel de ville(avenue des banques),5400,6800,5400,10,14,250
Efoulan(carrefour club france),TKC(carrefour),5000,6400,5000,11,19,250
Efoulan(carrefour club france),Carrefour MEEC,5200,6600,5200,14,18,300
Efoulan(carrefour club france),Mvog Atangana Mballa(pharmacie),2100,3500,2100,8,12,300
Efoulan(carrefour club france),Ngoa Ekélé (lycée),3500,4900,3500,10,13,300
Efoulan(carrefour club france),Chateau(Université de Yaoundé I),4400,5800,4400,11,14,300
Efoulan(carrefour club france),Ekoundoum,103000,104400,103000,24,39,2000
Eleveur (tradex college ebanda),Mvog-ada,6700,8100,6700,6,9,250
Eleveur (tradex college ebanda),hotel de ville(avenue des banques),7200,8600,7200,5,10,250
Eleveur (tradex college ebanda),TKC(carrefour),14900,16300,14900,13,15,500
Eleveur (tradex college ebanda),Carrefour MEEC,11800,13200,11800,11,19,400
Eleveur (tradex college ebanda),Mvog Atangana Mballa(pharmacie),9300,10700,9300,5,9,250
Eleveur (tradex college ebanda),Ngoa Ekélé (lycée),10000,11400,10000,7,18,250
Eleveur (tradex college ebanda),Chateau(Université de Yaoundé I),10200,11600,10200,17,20,250
Eleveur (tradex college ebanda),Ekoundoum,99300,100700,99300,27,30,1200
Mvog-ada,hotel de ville(avenue des banques),3100,4500,3100,10,12,250
Mvog-ada,TKC(carrefour),8400,9800,8400,18,25,300
Mvog-ada,Carrefour MEEC,6300,7700,6300,9,13,250
Mvog-ada,Mvog Atangana Mballa(pharmacie),2300,3700,2300,7,8,175
Mvog-ada,Ngoa Ekélé (lycée),3600,5000,3600,9,15,250
Mvog-ada,Chateau(Université de Yaoundé I),4500,5900,4500,9,15,250
Mvog-ada,Ekoundoum,98400,99800,98400,21,24,1250
hotel de ville(avenue des banques),TKC(carrefour),9100,10500,9100,24,30,300
hotel de ville(avenue des banques),Carrefour MEEC,5800,7200,5800,18,19,250
hotel de ville(avenue des banques),Mvog Atangana Mballa(pharmacie),3500,4900,3500,10,14,250
hotel de ville(avenue des banques),Ngoa Ekélé (lycée),3600,5000,3600,15,16,250
hotel de ville(avenue des banques),Chateau(Université de Yaoundé I),3800,5200,3800,15,16,250
hotel de ville(avenue des banques),Ekoundoum,101000,102400,101000,20,25,1200
TKC(carrefour),Carrefour MEEC,4200,5600,4200,12,12,250
TKC(carrefour),Mvog Atangana Mballa(pharmacie),5800,7200,5800,23,23,250
TKC(carrefour),Ngoa Ekélé (lycée),5800,7200,5800,13,16,250
TKC(carrefour),Chateau(Université de Yaoundé I),4800,6200,4800,13,16,250
TKC(carrefour),Ekoundoum,107000,108400,107000,32,36,1400
Carrefour MEEC,Mvog Atangana Mballa(pharmacie),4900,6300,4900,14,14,250
Carrefour MEEC,Ngoa Ekélé (lycée),3000,4400,3000,10,11,250
Carrefour MEEC,Chateau(Université de Yaoundé I),4200,5600,4200,10,11,250
Carrefour MEEC,Ekoundoum,104000,105400,104000,23,30,1300
Mvog Atangana Mballa(pharmacie),Ngoa Ekélé (lycée),2000,3400,2000,8,9,150
Mvog Atangana Mballa(pharmacie),Chateau(Université de Yaoundé I),2300,3700,2300,9,10,150
Mvog Atangana Mballa(pharmacie),Ekoundoum,101000,102400,101000,20,27,1300
Ngoa Ekélé (lycée),Chateau(Université de Yaoundé I),350,1750,350,1,1,100
Ngoa Ekélé (lycée),Ekoundoum,102000,103400,102000,13,14,400
Chateau(Université de Yaoundé I),Ekoundoum,102000,103400,102000,23,25,1400
